;Num_Acc;catr;voie;v1;v2;circ;nbv;vosp;prof;pr;pr1;plan;lartpc;larrout;surf;infra;situ;vma
40487;202200044953;4;RUE DE LILLE;0;;1;1;0;1;(1);(1);1;; -1;2;0;1;30
40488;202200044954;1;AUTOROUTE A86;0;;3;6;0;1;28;700;1;; -1;1;1;1;90
40489;202200044955;4;BARTHELEMY BUYER                    (AV);0;;2;2;0;2;(1);(1);1;; -1;1;0;1;50
40490;202200044956;3;;0;;2;1;0;1;(1);(1);1;;3;1;0;3;50
40491;202200044959;1;AUTOROUTE A3;0;;1;5;0;1;2;0;1;; -1;1;0;1;70
40492;202200044960;3;923;0;;2;2;0;1;32;490;1;; -1;1;0;1;50
40493;202200044961;3;JULIEN DURANTON (AV);0;;-1;2;0;1;1;0;1;; -1;2;0;1;50
40494;202200044962;4;TILSITT                             (QU);0;;1;2;3;1;(1);(1);1;; -1;1;0;1;50
40495;202200044963;3;1084;-1;;2;2;1;1;2;375;1;; -1;1;0;1;50
40496;202200044964;1;A4.W;0;;3;3;0;1;16;700;1;; -1;2;0;1;110
40497;202200044965;3;AV GAMBETTA;0;;1;2;0;1;0;0;1;; -1;2;6;1;30
40498;202200044966;3;76;0;D;2;2;0;1;17;700;1;; -1;1;0;1;80
40499;202200044967;3;19;-1;;2;2;0;1;13;400;2;; -1;1;0;1;80
40500;202200044968;3;DIVISION LECLERC (AVENUE DE LA );0;;2;2;0;1;3;0;1;; -1;1;0;1;50
40501;202200044969;3;42;-1;;2;2;0;1;21;200;4;; -1;1;0;3;80
40502;202200044970;3;ONZE NOVEMBRE (AV DU);0;;2;2;0;2;0;0;1;; -1;2;0;1;50
40503;202200044972;3;114;0;D;2;2;0;2;2;770;2;; -1;1;0;3;-1
40504;202200044973;7;Autoroute A.351;0;;3;6;0;1;0;699;1;; -1;1;0;1;90
40505;202200044974;3;74;-1;D;2;2;0;1;2;700;3;; -1;1;0;8;80
40506;202200044975;4;ECOLES.(RUE DES);0;;2;2;0;1;0;0;1;; -1;1;0;1;30
40507;202200044976;3;NATIONALE 6 (REVEIL MATIN);0;;1;2;0;1;0;100;1;; -1;2;3;1;50
40508;202200044977;2;T20;0;;2;2;0;1;6;650;1;; -1;1;0;1;90
40509;202200044979;3;49;-1;;2;2;0;1;15;880;1;; -1;1;0;8;50
40510;202200044981;4;PERI  (PLACE GABRIEL);0;;2;6;3;1;0;0;1;; -1;1;0;1;50
40511;202200044982;4;PALAIS-DES-EXPO (AVENUE DU);0;;2;2;0;1;(1);(1);1;; -1;1;0;1;50
40512;202200044983;3;AUGUSTE DESHAIES (QU);0;;2;3;0;1;0;1;1;; -1;1;5;1;50
40513;202200044984;3;PASTEUR (RUE);0;;1;2;1;1;12;800;1;; -1;2;0;1;30
40514;202200044985;4;;-1;;-1;1;0;2;(1);(1);2;;3;1;0;3;50
40515;202200044986;1;A13;0;;1;3;0;1;0;500;1;; -1;1;0;1;110
40516;202200044987;3;20;0;D;2;1;0;1;84;200;1;;4;1;5;1;90
40517;202200044989;2;RN3 (1);0;;3;2;0;2;1;0;1;; -1;1;0;1;110
40518;202200044990;3;D954;-1;;2;2;0;1;(1);(1);1;; -1;1;0;1;70
40519;202200044991;4;PHILIPPE GASTON;0;;2;2;0;1;0;1;1;; -1;2;0;1;50
40520;202200044993;3;MONTABO (ROUTE DE) 1;0;;2;2;0;1;1;100;1;; -1;1;0;1;50
40521;202200044994;3;100;-1;;2;2;0;1;33;500;2;;4;1;0;1;80
40522;202200044995;1;A7-Sens Lyon vers Marseille;0;;-1;3;0;1;274;0;1;; -1;1;0;1;90
40523;202200044996;3;ROSNY (AVENUE DE);0;;2;4;0;1;0;1;1;; -1;2;0;1;50
40524;202200044998;3;BADUEL (ROUTE DE);0;;2;2;0;1;2;50;1;; -1;1;0;1;50
40525;202200044999;3;;0;;2;2;0;2;9;100;1;;5;2;0;1;30
40526;202200045000;1;A507 sens Aubagne- Marseille;0;;1;3;0;2;6;269;1;; -1;1;1;1;70
40527;202200045002;3;952;-1;;2;2;0;2;38;590;3;; -1;1;0;1;80
40528;202200045003;4;CROIX BARRET (DE LA)                (R );0;;2;2;2;1;(1);(1);1;; -1;1;0;1;30
40529;202200045004;4;GAMBETTA  BD;0;;2;2;0;2;(1);(1);1;; -1;1;0;1;50
40530;202200045005;1;A507 sens Aubagne- Marseille;0;;-1;3;0;1;2;0;1;; -1;1;0;1;90
40531;202200045006;3;;-1;;3;4;-1;1;(1);(1);1;; -1;2;0;1;-1
40532;202200045007;2;12;0;;3;4;0;1;25;300;1;; -1;1;0;1;110
40533;202200045008;7;NORD OUEST VOIE INTERCOMMUNALE;0;;2;2;1;1;(1);(1);1;; -1;2;0;1;50
